Model, node, converged
3, 3, 1
3, 10, 1
3, 16, 1
3, 27, 1
3, 2, 1
3, 17, 1
3, 45, 1
3, 38, 1
3, 43, 1
3, 39, 1
3, 31, 1
3, 26, 1
3, 41, 1
3, 18, 1
3, 49, 1
3, 21, 1
3, 46, 1
3, 36, 1
3, 15, 1
3, 37, 1
3, 44, 1
3, 28, 1
3, 20, 1
3, 30, 1
3, 19, 1
3, 25, 1
3, 24, 1
3, 34, 1
3, 33, 1
3, 35, 1
3, 42, 1
3, 13, 1
3, 40, 1
3, 4, 1
3, 48, 1
3, 32, 1
3, 47, 1
3, 14, 1
3, 23, 1,
3, 22, 1
3, 29, 1
3, 7, 1
3, 50, 1
3, 12, 1
3, 11, 1
3, 8, 1
3, 5, 1
3, 9, 1
3, 6, 1
3, 1, 1
2, 37, 0
2, 41, 1
2, 4, 1
2, 2, 1
2, 49, 1
2, 13, 1
2, 25, 1
2, 28, 1
2, 9, 1
2, 33, 1
2, 26, 1
2, 48, 0
2, 29, 0
2, 1, 1
2, 17, 1
2, 39, 1
2, 47, 0
2, 24, 1
2, 23, 0
2, 14, 0
2, 38, 1
2, 21, 1
2, 31, 1
2, 19, 1
2, 35, 1
2, 16, 1
2, 12, 0
2, 34, 1
2, 46, 1
2, 42, 1
2, 10, 1
2, 20, 1
2, 18, 1
2, 8, 1
2, 22, 1
2, 44, 1
2, 11, 0
2, 30, 0
2, 7, 1
2, 40, 1
2, 36, 1
2, 15, 0
2, 50 ,0
2, 6, 1
2, 5, 0
2, 3, 1
2, 45, 1
2, 27, 1
1, 30, 1
1, 40, 1
1, 20, 1
1, 37, 0
1, 10, 1
1, 9, 1
1, 5, 0
1, 7, 1
1, 8, 1
1, 1, 1
1, 6, 1
1, 3, 1
1, 33, 1
1, 50, 0
1, 22, 0
1, 11, 1
1, 34, 0
1, 46, 1
1, 36, 1
1, 17, 1
1, 15, 1
1, 47, 0
1, 24, 1
1, 44, 1
1, 49, 1
1, 26, 0
1, 49, 1
1, 38, 
1, 19, 1
